,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets
101,ABT,ABBOTT LABORATORIES,2025-12-31,10-K,2026-02-20,8522000000.0,12929000000.0,6524000000.0,8053000000.0,44328000000.0,52130000000.0,86713000000.0
99,ABT,ABBOTT LABORATORIES,2024-12-31,10-K,2025-02-21,7616000000.0,14125000000.0,13402000000.0,6825000000.0,41950000000.0,47664000000.0,81414000000.0
100,ABT,ABBOTT LABORATORIES,2024-12-31,10-K,2026-02-20,7616000000.0,14125000000.0,13402000000.0,6825000000.0,41950000000.0,47664000000.0,81414000000.0
96,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2024-02-16,6896000000.0,14679000000.0,5723000000.0,6478000000.0,40109000000.0,38603000000.0,73214000000.0
97,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2025-02-21,6896000000.0,14679000000.0,5723000000.0,6478000000.0,40109000000.0,38603000000.0,73214000000.0
98,ABT,ABBOTT LABORATORIES,2023-12-31,10-K,2026-02-20,,,5723000000.0,6478000000.0,40109000000.0,,
93,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2023-02-17,9882000000.0,16773000000.0,6933000000.0,8362000000.0,43653000000.0,36686000000.0,74438000000.0
94,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2024-02-16,9882000000.0,16773000000.0,6933000000.0,8362000000.0,43653000000.0,36686000000.0,74438000000.0
95,ABT,ABBOTT LABORATORIES,2022-12-31,10-K,2025-02-21,,,6933000000.0,8362000000.0,43653000000.0,,
90,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2022-02-18,9799000000.0,18050000000.0,7071000000.0,8425000000.0,43075000000.0,35802000000.0,75196000000.0
91,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2023-02-17,9799000000.0,18050000000.0,7071000000.0,8425000000.0,43075000000.0,35802000000.0,75196000000.0
92,ABT,ABBOTT LABORATORIES,2021-12-31,10-K,2024-02-16,,,7071000000.0,8425000000.0,43075000000.0,,
87,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2021-02-19,6838000000.0,18534000000.0,4495000000.0,5357000000.0,34608000000.0,32784000000.0,72548000000.0
88,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2022-02-18,6838000000.0,18534000000.0,4495000000.0,5357000000.0,34608000000.0,32784000000.0,72548000000.0
89,ABT,ABBOTT LABORATORIES,2020-12-31,10-K,2023-02-17,,,4495000000.0,5357000000.0,34608000000.0,,
84,ABT,ABBOTT LABORATORIES,2019-12-31,10-K,2020-02-21,3860000000.0,17938000000.0,1049000000.0,4532000000.0,8314000000.0,31088000000.0,67887000000.0
85,ABT,ABBOTT LABORATORIES,2019-12-31,10-K,2021-02-19,3860000000.0,17938000000.0,3687000000.0,4532000000.0,31904000000.0,31088000000.0,67887000000.0
86,ABT,ABBOTT LABORATORIES,2019-12-31,10-K,2022-02-18,,,3687000000.0,4532000000.0,31904000000.0,,
83,ABT,ABBOTT LABORATORIES,2019-09-30,10-K,2020-02-21,,,960000000.0,,8076000000.0,,
82,ABT,ABBOTT LABORATORIES,2019-06-30,10-K,2020-02-21,,,1006000000.0,,7979000000.0,,
81,ABT,ABBOTT LABORATORIES,2019-03-31,10-K,2020-02-21,,,672000000.0,,7535000000.0,,
78,ABT,ABBOTT LABORATORIES,2018-12-31,10-K,2019-02-22,3844000000.0,19366000000.0,654000000.0,3650000000.0,7765000000.0,30524000000.0,67173000000.0
79,ABT,ABBOTT LABORATORIES,2018-12-31,10-K,2020-02-21,3844000000.0,19366000000.0,654000000.0,3650000000.0,7765000000.0,30524000000.0,67173000000.0
80,ABT,ABBOTT LABORATORIES,2018-12-31,10-K,2021-02-19,,,2368000000.0,3650000000.0,30578000000.0,,67173000000.0
76,ABT,ABBOTT LABORATORIES,2018-09-30,10-K,2019-02-22,,,563000000.0,,7656000000.0,,
77,ABT,ABBOTT LABORATORIES,2018-09-30,10-K,2020-02-21,,,563000000.0,,7656000000.0,,
74,ABT,ABBOTT LABORATORIES,2018-06-30,10-K,2019-02-22,,,733000000.0,,7767000000.0,,
75,ABT,ABBOTT LABORATORIES,2018-06-30,10-K,2020-02-21,,,733000000.0,,7767000000.0,,
72,ABT,ABBOTT LABORATORIES,2018-03-31,10-K,2019-02-22,,,418000000.0,,7390000000.0,,
73,ABT,ABBOTT LABORATORIES,2018-03-31,10-K,2020-02-21,,,418000000.0,,7390000000.0,,
69,ABT,ABBOTT LABORATORIES,2017-12-31,10-K,2018-02-16,9407000000.0,27718000000.0,-828000000.0,1726000000.0,,30897000000.0,76250000000.0
70,ABT,ABBOTT LABORATORIES,2017-12-31,10-K,2019-02-22,9407000000.0,27718000000.0,-828000000.0,1564000000.0,7589000000.0,30897000000.0,76250000000.0
71,ABT,ABBOTT LABORATORIES,2017-12-31,10-K,2020-02-21,,,477000000.0,1564000000.0,27390000000.0,,76250000000.0
67,ABT,ABBOTT LABORATORIES,2017-09-30,10-K,2018-02-16,,,603000000.0,,,,
68,ABT,ABBOTT LABORATORIES,2017-09-30,10-K,2019-02-22,,,603000000.0,,6829000000.0,,
65,ABT,ABBOTT LABORATORIES,2017-06-30,10-K,2018-02-16,,,283000000.0,,,,
66,ABT,ABBOTT LABORATORIES,2017-06-30,10-K,2019-02-22,,,283000000.0,,6637000000.0,,
63,ABT,ABBOTT LABORATORIES,2017-03-31,10-K,2018-02-16,,,419000000.0,,,,
64,ABT,ABBOTT LABORATORIES,2017-03-31,10-K,2019-02-22,,,419000000.0,,6335000000.0,,
60,ABT,ABBOTT LABORATORIES,2016-12-31,10-K,2017-02-17,18620000000.0,20684000000.0,798000000.0,3185000000.0,,20538000000.0,52666000000.0
61,ABT,ABBOTT LABORATORIES,2016-12-31,10-K,2018-02-16,18620000000.0,20684000000.0,798000000.0,3185000000.0,,20538000000.0,52666000000.0
62,ABT,ABBOTT LABORATORIES,2016-12-31,10-K,2019-02-22,,,1400000000.0,3026000000.0,20853000000.0,,52666000000.0
58,ABT,ABBOTT LABORATORIES,2016-09-30,10-K,2017-02-17,,,-329000000.0,,,,
59,ABT,ABBOTT LABORATORIES,2016-09-30,10-K,2018-02-16,,,-329000000.0,,,,
56,ABT,ABBOTT LABORATORIES,2016-06-30,10-K,2017-02-17,,,615000000.0,,,,
57,ABT,ABBOTT LABORATORIES,2016-06-30,10-K,2018-02-16,,,615000000.0,,,,
54,ABT,ABBOTT LABORATORIES,2016-03-31,10-K,2017-02-17,,,316000000.0,,,,
55,ABT,ABBOTT LABORATORIES,2016-03-31,10-K,2018-02-16,,,316000000.0,,,,
51,ABT,ABBOTT LABORATORIES,2015-12-31,10-K,2016-02-19,5001000000.0,5874000000.0,767000000.0,2867000000.0,,21211000000.0,41247000000.0
52,ABT,ABBOTT LABORATORIES,2015-12-31,10-K,2017-02-17,5001000000.0,5874000000.0,767000000.0,2867000000.0,,21211000000.0,41247000000.0
53,ABT,ABBOTT LABORATORIES,2015-12-31,10-K,2018-02-16,5001000000.0,,4423000000.0,2867000000.0,,,41247000000.0
49,ABT,ABBOTT LABORATORIES,2015-09-30,10-K,2016-02-19,,,580000000.0,,,,
50,ABT,ABBOTT LABORATORIES,2015-09-30,10-K,2017-02-17,,,580000000.0,,,,
47,ABT,ABBOTT LABORATORIES,2015-06-30,10-K,2016-02-19,,,784000000.0,,,,
48,ABT,ABBOTT LABORATORIES,2015-06-30,10-K,2017-02-17,,,784000000.0,,,,
45,ABT,ABBOTT LABORATORIES,2015-03-31,10-K,2016-02-19,,,2292000000.0,,,,
46,ABT,ABBOTT LABORATORIES,2015-03-31,10-K,2017-02-17,,,2292000000.0,,,,
41,ABT,ABBOTT LABORATORIES,2014-12-31,10-K,2015-02-27,4063000000.0,3463000000.0,905000000.0,2599000000.0,,21526000000.0,41275000000.0
42,ABT,ABBOTT LABORATORIES,2014-12-31,10-K,2016-02-19,4063000000.0,3448000000.0,905000000.0,2599000000.0,,21526000000.0,41207000000.0
43,ABT,ABBOTT LABORATORIES,2014-12-31,10-K,2017-02-17,4063000000.0,,2284000000.0,2599000000.0,,,41207000000.0
44,ABT,ABBOTT LABORATORIES,2014-12-31,10-K,2018-02-16,4063000000.0,,,,,,
39,ABT,ABBOTT LABORATORIES,2014-09-30,10-K,2015-02-27,,,538000000.0,,,,
40,ABT,ABBOTT LABORATORIES,2014-09-30,10-K,2016-02-19,,,538000000.0,,,,
37,ABT,ABBOTT LABORATORIES,2014-06-30,10-K,2015-02-27,,,466000000.0,,,,
38,ABT,ABBOTT LABORATORIES,2014-06-30,10-K,2016-02-19,,,466000000.0,,,,
35,ABT,ABBOTT LABORATORIES,2014-03-31,10-K,2015-02-27,,,375000000.0,,,,
36,ABT,ABBOTT LABORATORIES,2014-03-31,10-K,2016-02-19,,,375000000.0,,,,
31,ABT,ABBOTT LABORATORIES,2013-12-31,10-K,2014-02-21,3475000000.0,3397000000.0,589000000.0,2629000000.0,,25171000000.0,42953000000.0
32,ABT,ABBOTT LABORATORIES,2013-12-31,10-K,2015-02-27,3475000000.0,3397000000.0,589000000.0,2133000000.0,,25171000000.0,42953000000.0
33,ABT,ABBOTT LABORATORIES,2013-12-31,10-K,2016-02-19,3475000000.0,,2576000000.0,2133000000.0,,,42937000000.0
34,ABT,ABBOTT LABORATORIES,2013-12-31,10-K,2017-02-17,3475000000.0,,,,,,
29,ABT,ABBOTT LABORATORIES,2013-09-30,10-K,2014-02-21,,,966000000.0,,,,
30,ABT,ABBOTT LABORATORIES,2013-09-30,10-K,2015-02-27,,,966000000.0,,,,
27,ABT,ABBOTT LABORATORIES,2013-06-30,10-K,2014-02-21,,,476000000.0,,,,
28,ABT,ABBOTT LABORATORIES,2013-06-30,10-K,2015-02-27,,,476000000.0,,,,
25,ABT,ABBOTT LABORATORIES,2013-03-31,10-K,2014-02-21,,,545000000.0,,,,
26,ABT,ABBOTT LABORATORIES,2013-03-31,10-K,2015-02-27,,,545000000.0,,,,
21,ABT,ABBOTT LABORATORIES,2012-12-31,10-K,2013-02-15,10802163000.0,18394000000.0,,8084515000.0,,26720961000.0,67234944000.0
22,ABT,ABBOTT LABORATORIES,2012-12-31,10-K,2014-02-21,10802000000.0,18394000000.0,1053000000.0,1894000000.0,,26721000000.0,67235000000.0
23,ABT,ABBOTT LABORATORIES,2012-12-31,10-K,2015-02-27,10802000000.0,,5963000000.0,1360000000.0,,,67235000000.0
24,ABT,ABBOTT LABORATORIES,2012-12-31,10-K,2016-02-19,10802000000.0,,,,,,
20,ABT,ABBOTT LABORATORIES,2012-09-30,10-K,2014-02-21,,,1943000000.0,,,,
19,ABT,ABBOTT LABORATORIES,2012-06-30,10-K,2014-02-21,,,1725000000.0,,,,
18,ABT,ABBOTT LABORATORIES,2012-03-31,10-K,2014-02-21,,,1242000000.0,,,,
14,ABT,ABBOTT LABORATORIES,2011-12-31,10-K,2012-02-21,6812820000.0,13067000000.0,,5751948000.0,,24439833000.0,60276893000.0
15,ABT,ABBOTT LABORATORIES,2011-12-31,10-K,2013-02-15,6812820000.0,13067000000.0,,5751948000.0,,24439833000.0,60276893000.0
16,ABT,ABBOTT LABORATORIES,2011-12-31,10-K,2014-02-21,6813000000.0,,4728000000.0,1629000000.0,,,60277000000.0
17,ABT,ABBOTT LABORATORIES,2011-12-31,10-K,2015-02-27,6813000000.0,,,,,,
10,ABT,ABBOTT LABORATORIES,2010-12-31,10-K,2011-02-18,3648371000.0,14569000000.0,,6087581000.0,,22388135000.0,59462266000.0
11,ABT,ABBOTT LABORATORIES,2010-12-31,10-K,2012-02-21,3648371000.0,14569000000.0,,6087581000.0,,22676802000.0,60573852000.0
12,ABT,ABBOTT LABORATORIES,2010-12-31,10-K,2013-02-15,3648371000.0,14569000000.0,,6087581000.0,,22676802000.0,60573852000.0
13,ABT,ABBOTT LABORATORIES,2010-12-31,10-K,2014-02-21,3648000000.0,,,,,,
6,ABT,ABBOTT LABORATORIES,2009-12-31,10-K,2010-02-19,8809339000.0,,,6235741000.0,,22855627000.0,52416623000.0
7,ABT,ABBOTT LABORATORIES,2009-12-31,10-K,2011-02-18,8809339000.0,11477000000.0,,6235741000.0,,22855627000.0,52416623000.0
8,ABT,ABBOTT LABORATORIES,2009-12-31,10-K,2012-02-21,8809339000.0,11477000000.0,,6235741000.0,,23144294000.0,52581623000.0
9,ABT,ABBOTT LABORATORIES,2009-12-31,10-K,2013-02-15,8809339000.0,,,,,,
3,ABT,ABBOTT LABORATORIES,2008-12-31,10-K,2010-02-19,4112022000.0,,,5693839000.0,,17479551000.0,42419204000.0
4,ABT,ABBOTT LABORATORIES,2008-12-31,10-K,2011-02-18,4112022000.0,9754000000.0,,5693839000.0,,17479551000.0,42419204000.0
5,ABT,ABBOTT LABORATORIES,2008-12-31,10-K,2012-02-21,4112022000.0,,,,,,
1,ABT,ABBOTT LABORATORIES,2007-12-31,10-K,2010-02-19,2456384000.0,,,4578545000.0,,17778540000.0,39713924000.0
2,ABT,ABBOTT LABORATORIES,2007-12-31,10-K,2011-02-18,2456384000.0,,,,,,
0,ABT,ABBOTT LABORATORIES,2006-12-31,10-K,2010-02-19,521192000.0,,,,,,
