,ticker,company,end_date,form,filed,cash,net_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
79,ACGL,Arch Capital Group Ltd.,2025-12-31,10-K,2026-02-26,993000000.0,4399000000.0,19929000000.0,359000000.0,24206000000.0,79241000000.0,55035000000.0
77,ACGL,Arch Capital Group Ltd.,2024-12-31,10-K,2025-02-27,979000000.0,4312000000.0,17440000000.0,376400000.0,20820000000.0,70906000000.0,50086000000.0
78,ACGL,Arch Capital Group Ltd.,2024-12-31,10-K,2026-02-26,979000000.0,4312000000.0,17440000000.0,376400000.0,20820000000.0,70906000000.0,50086000000.0
74,ACGL,Arch Capital Group Ltd.,2023-12-31,10-K,2024-02-23,917000000.0,4443000000.0,13634000000.0,373400000.0,18353000000.0,58906000000.0,40551000000.0
75,ACGL,Arch Capital Group Ltd.,2023-12-31,10-K,2025-02-27,917000000.0,4443000000.0,13634000000.0,373400000.0,18353000000.0,58906000000.0,40551000000.0
76,ACGL,Arch Capital Group Ltd.,2023-12-31,10-K,2026-02-26,917000000.0,4443000000.0,13634000000.0,373400000.0,18353000000.0,58906000000.0,40551000000.0
71,ACGL,Arch Capital Group Ltd.,2022-12-31,10-K,2023-02-24,855118000.0,1476933000.0,9614808000.0,370345997.0,12910073000.0,47990507000.0,35069605000.0
72,ACGL,Arch Capital Group Ltd.,2022-12-31,10-K,2024-02-23,855000000.0,1476000000.0,9613000000.0,370400000.0,12910000000.0,47990000000.0,35069000000.0
73,ACGL,Arch Capital Group Ltd.,2022-12-31,10-K,2025-02-27,855000000.0,1476000000.0,9613000000.0,370400000.0,12910000000.0,47990000000.0,35069000000.0
68,ACGL,Arch Capital Group Ltd.,2021-12-31,10-K,2022-02-25,858668000.0,2156849000.0,9249980000.0,378923894.0,13545896000.0,45100945000.0,31545816000.0
69,ACGL,Arch Capital Group Ltd.,2021-12-31,10-K,2023-02-24,858668000.0,2156849000.0,9249980000.0,378923894.0,13545896000.0,45100945000.0,31545816000.0
70,ACGL,Arch Capital Group Ltd.,2021-12-31,10-K,2024-02-23,859000000.0,2157000000.0,9248000000.0,378900000.0,13546000000.0,45101000000.0,31546000000.0
65,ACGL,Arch Capital Group Ltd.,2020-12-31,10-K,2021-02-26,906448000.0,543544000.0,8525275000.0,406720642.0,13105886000.0,43282297000.0,29294856000.0
66,ACGL,Arch Capital Group Ltd.,2020-12-31,10-K,2022-02-25,906448000.0,1405521000.0,8508509000.0,406720642.0,13105886000.0,43282297000.0,29294856000.0
67,ACGL,Arch Capital Group Ltd.,2020-12-31,10-K,2023-02-24,906448000.0,1405521000.0,8508509000.0,406720642.0,13105886000.0,43282297000.0,29294856000.0
64,ACGL,Arch Capital Group Ltd.,2020-09-30,10-K,2021-02-26,,419039000.0,,,,,
63,ACGL,Arch Capital Group Ltd.,2020-06-30,10-K,2021-02-26,,298821000.0,,,,,
62,ACGL,Arch Capital Group Ltd.,2020-03-31,10-K,2021-02-26,,144117000.0,,,,,
59,ACGL,Arch Capital Group Ltd.,2019-12-31,10-K,2020-02-28,726230000.0,1636319000.0,6928200000.0,405619201.0,11497371000.0,37885361000.0,25569809000.0
60,ACGL,Arch Capital Group Ltd.,2019-12-31,10-K,2021-02-26,726230000.0,326384000.0,6928200000.0,405619201.0,11497371000.0,37885361000.0,25569809000.0
61,ACGL,Arch Capital Group Ltd.,2019-12-31,10-K,2022-02-25,726230000.0,1636319000.0,6925967000.0,405619201.0,11497371000.0,37885361000.0,25569809000.0
58,ACGL,Arch Capital Group Ltd.,2019-09-30,10-K,2021-02-26,,392453000.0,,,,,
57,ACGL,Arch Capital Group Ltd.,2019-06-30,10-K,2021-02-26,,468954000.0,,,,,
56,ACGL,Arch Capital Group Ltd.,2019-03-31,10-K,2021-02-26,,448528000.0,,,,,
53,ACGL,Arch Capital Group Ltd.,2018-12-31,10-K,2019-02-28,646556000.0,757971000.0,5450568000.0,402454834.0,9439827000.0,32218329000.0,21780650000.0
54,ACGL,Arch Capital Group Ltd.,2018-12-31,10-K,2020-02-28,646556000.0,757971000.0,5450568000.0,402454834.0,9439827000.0,32218329000.0,21780650000.0
55,ACGL,Arch Capital Group Ltd.,2018-12-31,10-K,2021-02-26,646556000.0,757971000.0,5450568000.0,402454834.0,9439827000.0,32218329000.0,21780650000.0
50,ACGL,Arch Capital Group Ltd.,2017-12-31,10-K,2018-02-28,606199000.0,619278000.0,5627375000.0,130977939.0,9196602000.0,32051658000.0,21805723000.0
51,ACGL,Arch Capital Group Ltd.,2017-12-31,10-K,2019-02-28,606199000.0,619278000.0,5627375000.0,392933817.0,9196602000.0,32051658000.0,21805723000.0
52,ACGL,Arch Capital Group Ltd.,2017-12-31,10-K,2020-02-28,606199000.0,619278000.0,5627375000.0,392933817.0,9196602000.0,32051658000.0,21805723000.0
47,ACGL,Arch Capital Group Ltd.,2016-12-31,10-K,2017-03-01,842942000.0,692738000.0,4463556000.0,122787517.0,8253718000.0,29372109000.0,20060984000.0
48,ACGL,Arch Capital Group Ltd.,2016-12-31,10-K,2018-02-28,842942000.0,692738000.0,4463556000.0,122787517.0,8253718000.0,29372109000.0,20060984000.0
49,ACGL,Arch Capital Group Ltd.,2016-12-31,10-K,2019-02-28,842942000.0,692738000.0,4463556000.0,368362551.0,8253718000.0,29372109000.0,20060984000.0
44,ACGL,Arch Capital Group Ltd.,2015-12-31,10-K,2016-02-26,553326000.0,537738000.0,3936590000.0,122627783.0,6204881000.0,23177270000.0,16028376000.0
45,ACGL,Arch Capital Group Ltd.,2015-12-31,10-K,2017-03-01,553326000.0,537738000.0,3936590000.0,122627783.0,6166542000.0,23138931000.0,16028376000.0
46,ACGL,Arch Capital Group Ltd.,2015-12-31,10-K,2018-02-28,553326000.0,537738000.0,3936590000.0,122627783.0,6166542000.0,23138931000.0,16028376000.0
40,ACGL,Arch Capital Group Ltd.,2014-12-31,10-K,2015-02-27,485702000.0,834355000.0,3988873000.0,127367934.0,6130053000.0,22009543000.0,14890897000.0
41,ACGL,Arch Capital Group Ltd.,2014-12-31,10-K,2016-02-26,485702000.0,834355000.0,3988873000.0,127367934.0,6130053000.0,22006081000.0,14887435000.0
42,ACGL,Arch Capital Group Ltd.,2014-12-31,10-K,2017-03-01,485702000.0,834355000.0,3988873000.0,127367934.0,6091714000.0,21967742000.0,14887435000.0
43,ACGL,Arch Capital Group Ltd.,2014-12-31,10-K,2018-02-28,485702000.0,,,,,,
36,ACGL,Arch Capital Group Ltd.,2013-12-31,10-K,2014-03-03,434057000.0,161490000.0,3526157000.0,133674884.0,5647496000.0,19566094000.0,13918598000.0
37,ACGL,Arch Capital Group Ltd.,2013-12-31,10-K,2015-02-27,434057000.0,709731000.0,3526157000.0,133674884.0,5647496000.0,19566094000.0,13918598000.0
38,ACGL,Arch Capital Group Ltd.,2013-12-31,10-K,2016-02-26,434057000.0,709731000.0,3526157000.0,133674884.0,5647496000.0,19557054000.0,13909558000.0
39,ACGL,Arch Capital Group Ltd.,2013-12-31,10-K,2017-03-01,434057000.0,,,,,,
35,ACGL,Arch Capital Group Ltd.,2013-09-30,10-K,2014-03-03,,114825000.0,,,,,
34,ACGL,Arch Capital Group Ltd.,2013-06-30,10-K,2014-03-03,,176940000.0,,,,,
33,ACGL,Arch Capital Group Ltd.,2013-03-31,10-K,2014-03-03,,256476000.0,,,,,
29,ACGL,Arch Capital Group Ltd.,2012-12-31,10-K,2013-03-01,371041000.0,19217000.0,3482381000.0,133842613.0,,17816762000.0,12647884000.0
30,ACGL,Arch Capital Group Ltd.,2012-12-31,10-K,2014-03-03,371041000.0,19217000.0,3482381000.0,133842613.0,5168878000.0,17816762000.0,12647884000.0
31,ACGL,Arch Capital Group Ltd.,2012-12-31,10-K,2015-02-27,371041000.0,593397000.0,3482381000.0,133842613.0,5168878000.0,17816762000.0,12647884000.0
32,ACGL,Arch Capital Group Ltd.,2012-12-31,10-K,2016-02-26,371041000.0,,,,,,
27,ACGL,Arch Capital Group Ltd.,2012-09-30,10-K,2013-03-01,,189656000.0,,,,,
28,ACGL,Arch Capital Group Ltd.,2012-09-30,10-K,2014-03-03,,189656000.0,,,,,
25,ACGL,Arch Capital Group Ltd.,2012-06-30,10-K,2013-03-01,,220268000.0,,,,,
26,ACGL,Arch Capital Group Ltd.,2012-06-30,10-K,2014-03-03,,220268000.0,,,,,
23,ACGL,Arch Capital Group Ltd.,2012-03-31,10-K,2013-03-01,,164256000.0,,,,,
24,ACGL,Arch Capital Group Ltd.,2012-03-31,10-K,2014-03-03,,164256000.0,,,,,
19,ACGL,Arch Capital Group Ltd.,2011-12-31,10-K,2012-02-29,351699000.0,143272000.0,3063307000.0,134358345.0,,17141769000.0,12513283000.0
20,ACGL,Arch Capital Group Ltd.,2011-12-31,10-K,2013-03-01,351699000.0,145332000.0,3063307000.0,134358345.0,,17105357000.0,12513283000.0
21,ACGL,Arch Capital Group Ltd.,2011-12-31,10-K,2014-03-03,351699000.0,436163000.0,3063307000.0,134358345.0,4592074000.0,,
22,ACGL,Arch Capital Group Ltd.,2011-12-31,10-K,2015-02-27,351699000.0,,,,,,
17,ACGL,Arch Capital Group Ltd.,2011-09-30,10-K,2012-02-29,,168988000.0,,,,,
18,ACGL,Arch Capital Group Ltd.,2011-09-30,10-K,2013-03-01,,168755000.0,,,,,
15,ACGL,Arch Capital Group Ltd.,2011-06-30,10-K,2012-02-29,,98342000.0,,,,,
16,ACGL,Arch Capital Group Ltd.,2011-06-30,10-K,2013-03-01,,96603000.0,,,,,
13,ACGL,Arch Capital Group Ltd.,2011-03-31,10-K,2012-02-29,,25756000.0,,,,,
14,ACGL,Arch Capital Group Ltd.,2011-03-31,10-K,2013-03-01,,25473000.0,,,,,
9,ACGL,Arch Capital Group Ltd.,2010-12-31,10-K,2011-02-28,362740000.0,,3244067000.0,,,15770792000.0,11257789000.0
10,ACGL,Arch Capital Group Ltd.,2010-12-31,10-K,2012-02-29,362740000.0,234112000.0,3244067000.0,139632225.0,,16279228000.0,11766225000.0
11,ACGL,Arch Capital Group Ltd.,2010-12-31,10-K,2013-03-01,362740000.0,842672000.0,3244067000.0,139632225.0,,,
12,ACGL,Arch Capital Group Ltd.,2010-12-31,10-K,2014-03-03,362740000.0,,,,,,
8,ACGL,Arch Capital Group Ltd.,2010-09-30,10-K,2012-02-29,,148031000.0,,,,,
7,ACGL,Arch Capital Group Ltd.,2010-06-30,10-K,2012-02-29,,243451000.0,,,,,
6,ACGL,Arch Capital Group Ltd.,2010-03-31,10-K,2012-02-29,,216994000.0,,,,,
3,ACGL,Arch Capital Group Ltd.,2009-12-31,10-K,2011-02-28,334571000.0,,3501622000.0,,,15375790000.0,11052441000.0
4,ACGL,Arch Capital Group Ltd.,2009-12-31,10-K,2012-02-29,334571000.0,876945000.0,3501622000.0,164285034.0,,,
5,ACGL,Arch Capital Group Ltd.,2009-12-31,10-K,2013-03-01,334571000.0,,,,,,
1,ACGL,Arch Capital Group Ltd.,2008-12-31,10-K,2011-02-28,251739000.0,,2966813000.0,,,,
2,ACGL,Arch Capital Group Ltd.,2008-12-31,10-K,2012-02-29,251739000.0,,,,,,
0,ACGL,Arch Capital Group Ltd.,2007-12-31,10-K,2011-02-28,239915000.0,,,,,,
