,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets
89,AVY,AVERY DENNISON CORPORATION,2025-12-31,10-K,2026-02-25,202800000.0,3199000000.0,688000000.0,8855500000.0,76877487.0,2242100000.0,8801700000.0
87,AVY,AVERY DENNISON CORPORATION,2024-12-28,10-K,2025-02-26,329100000.0,2550800000.0,704900000.0,8755700000.0,79800396.0,2312300000.0,8404200000.0
88,AVY,AVERY DENNISON CORPORATION,2024-12-28,10-K,2026-02-25,329100000.0,2550800000.0,704900000.0,8755700000.0,79800396.0,2312300000.0,8404200000.0
84,AVY,AVERY DENNISON CORPORATION,2023-12-30,10-K,2024-02-21,215000000.0,2615000000.0,503000000.0,8364300000.0,80495585.0,2127900000.0,8209800000.0
85,AVY,AVERY DENNISON CORPORATION,2023-12-30,10-K,2025-02-26,215000000.0,2615000000.0,503000000.0,8364300000.0,80495585.0,2127900000.0,8209800000.0
86,AVY,AVERY DENNISON CORPORATION,2023-12-30,10-K,2026-02-25,,,503000000.0,8364300000.0,,2127900000.0,
80,AVY,AVERY DENNISON CORPORATION,2022-12-31,10-K,2023-02-22,167200000.0,2495400000.0,757100000.0,9039300000.0,80810016.0,2032200000.0,7950500000.0
81,AVY,AVERY DENNISON CORPORATION,2022-12-31,10-K,2024-02-21,167200000.0,2495400000.0,757100000.0,9039300000.0,80810016.0,2032200000.0,7950500000.0
82,AVY,AVERY DENNISON CORPORATION,2022-12-31,10-K,2025-02-26,,,757100000.0,9039300000.0,,2032200000.0,
83,AVY,AVERY DENNISON CORPORATION,2022-12-31,10-K,2026-02-25,,,,,,2032200000.0,
76,AVY,AVERY DENNISON CORPORATION,2022-01-01,10-K,2022-02-23,162700000.0,2774200000.0,740100000.0,8408300000.0,82605953.0,1924400000.0,7971600000.0
77,AVY,AVERY DENNISON CORPORATION,2022-01-01,10-K,2023-02-22,162700000.0,2774200000.0,740100000.0,8408300000.0,82605953.0,1924400000.0,7971600000.0
78,AVY,AVERY DENNISON CORPORATION,2022-01-01,10-K,2024-02-21,,,740100000.0,8408300000.0,,1924400000.0,
79,AVY,AVERY DENNISON CORPORATION,2022-01-01,10-K,2025-02-26,,,,,,1924400000.0,
72,AVY,AVERY DENNISON CORPORATION,2021-01-02,10-K,2021-02-25,252300000.0,2029200000.0,555900000.0,1990900000.0,83151174.0,1484900000.0,6083900000.0
73,AVY,AVERY DENNISON CORPORATION,2021-01-02,10-K,2022-02-23,252300000.0,2029200000.0,555900000.0,6971500000.0,83151174.0,1484900000.0,6083900000.0
74,AVY,AVERY DENNISON CORPORATION,2021-01-02,10-K,2023-02-22,,,555900000.0,6971500000.0,,1484900000.0,
75,AVY,AVERY DENNISON CORPORATION,2021-01-02,10-K,2024-02-21,,,,,,1484900000.0,
71,AVY,AVERY DENNISON CORPORATION,2020-09-26,10-K,2021-02-25,,,,1729100000.0,,,
70,AVY,AVERY DENNISON CORPORATION,2020-06-27,10-K,2021-02-25,,,,1528500000.0,,,
69,AVY,AVERY DENNISON CORPORATION,2020-03-28,10-K,2021-02-25,,,,1723000000.0,,,
65,AVY,AVERY DENNISON CORPORATION,2019-12-28,10-K,2020-02-26,253700000.0,1475300000.0,303600000.0,1772900000.0,83366840.0,1204000000.0,5488800000.0
66,AVY,AVERY DENNISON CORPORATION,2019-12-28,10-K,2021-02-25,253700000.0,1475300000.0,303600000.0,1772900000.0,83366840.0,1204000000.0,5488800000.0
67,AVY,AVERY DENNISON CORPORATION,2019-12-28,10-K,2022-02-23,253700000.0,,303600000.0,7070100000.0,,1204000000.0,
68,AVY,AVERY DENNISON CORPORATION,2019-12-28,10-K,2023-02-22,,,,,,1204000000.0,
63,AVY,AVERY DENNISON CORPORATION,2019-09-28,10-K,2020-02-26,,,,1761400000.0,,,
64,AVY,AVERY DENNISON CORPORATION,2019-09-28,10-K,2021-02-25,,,,1761400000.0,,,
61,AVY,AVERY DENNISON CORPORATION,2019-06-29,10-K,2020-02-26,,,,1795700000.0,,,
62,AVY,AVERY DENNISON CORPORATION,2019-06-29,10-K,2021-02-25,,,,1795700000.0,,,
59,AVY,AVERY DENNISON CORPORATION,2019-03-30,10-K,2020-02-26,,,,1740100000.0,,,
60,AVY,AVERY DENNISON CORPORATION,2019-03-30,10-K,2021-02-25,,,,1740100000.0,,,
55,AVY,AVERY DENNISON CORPORATION,2018-12-29,10-K,2019-02-27,232000000.0,,467400000.0,1768700000.0,84723655.0,955100000.0,5177500000.0
56,AVY,AVERY DENNISON CORPORATION,2018-12-29,10-K,2020-02-26,232000000.0,1750900000.0,467400000.0,1768700000.0,84723655.0,955100000.0,5177500000.0
57,AVY,AVERY DENNISON CORPORATION,2018-12-29,10-K,2021-02-25,232000000.0,,467400000.0,7159000000.0,,955100000.0,
58,AVY,AVERY DENNISON CORPORATION,2018-12-29,10-K,2022-02-23,232000000.0,,,,,955100000.0,
53,AVY,AVERY DENNISON CORPORATION,2018-09-29,10-K,2019-02-27,,,,1759700000.0,,,
54,AVY,AVERY DENNISON CORPORATION,2018-09-29,10-K,2020-02-26,,,,1759700000.0,,,
51,AVY,AVERY DENNISON CORPORATION,2018-06-30,10-K,2019-02-27,,,,1854200000.0,,,
52,AVY,AVERY DENNISON CORPORATION,2018-06-30,10-K,2020-02-26,,,,1854200000.0,,,
49,AVY,AVERY DENNISON CORPORATION,2018-03-31,10-K,2019-02-27,,,,1776400000.0,,,
50,AVY,AVERY DENNISON CORPORATION,2018-03-31,10-K,2020-02-26,,,,1776400000.0,,,
47,AVY,AVERY DENNISON CORPORATION,2017-12-31,10-K,2019-02-27,,,,,,1032400000.0,
48,AVY,AVERY DENNISON CORPORATION,2017-12-31,10-K,2020-02-26,,,,,,1032400000.0,
43,AVY,AVERY DENNISON CORPORATION,2017-12-30,10-K,2018-02-21,224400000.0,,,,88011541.0,1046200000.0,5136900000.0
44,AVY,AVERY DENNISON CORPORATION,2017-12-30,10-K,2019-02-27,224400000.0,,281800000.0,1735300000.0,88011541.0,1046200000.0,5136900000.0
45,AVY,AVERY DENNISON CORPORATION,2017-12-30,10-K,2020-02-26,,,281800000.0,6613800000.0,,1046200000.0,
46,AVY,AVERY DENNISON CORPORATION,2017-12-30,10-K,2021-02-25,224400000.0,,,,,1032400000.0,
42,AVY,AVERY DENNISON CORPORATION,2017-09-30,10-K,2019-02-27,,,,1679500000.0,,,
41,AVY,AVERY DENNISON CORPORATION,2017-07-01,10-K,2019-02-27,,,,1626900000.0,,,
40,AVY,AVERY DENNISON CORPORATION,2017-04-01,10-K,2019-02-27,,,,1572100000.0,,,
36,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2017-02-23,195100000.0,,,,88308860.0,925500000.0,4396400000.0
37,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2018-02-21,195100000.0,,,,88308860.0,925500000.0,4396400000.0
38,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2019-02-27,195100000.0,,320700000.0,6086500000.0,,925500000.0,
39,AVY,AVERY DENNISON CORPORATION,2016-12-31,10-K,2020-02-26,,,,,,925500000.0,
32,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2016-02-24,158800000.0,,,,89967697.0,965700000.0,4133700000.0
33,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2017-02-23,158800000.0,,,,89967697.0,965700000.0,4133700000.0
34,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2018-02-21,158800000.0,,,,,965700000.0,
35,AVY,AVERY DENNISON CORPORATION,2016-01-02,10-K,2019-02-27,158800000.0,,,,,965700000.0,
28,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2015-02-25,227000000.0,,,,90458956.0,1066500000.0,4360200000.0
29,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2016-02-24,207200000.0,,,,90458956.0,1047700000.0,4356900000.0
30,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2017-02-23,207200000.0,,,,,1047700000.0,
31,AVY,AVERY DENNISON CORPORATION,2015-01-03,10-K,2018-02-21,207200000.0,,,,,1047700000.0,
24,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2014-02-26,351600000.0,,,,96178411.0,1492200000.0,4610600000.0
25,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2015-02-25,351600000.0,,,,96178411.0,1492200000.0,4610600000.0
26,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2016-02-24,351100000.0,,,,,1468100000.0,
27,AVY,AVERY DENNISON CORPORATION,2013-12-28,10-K,2017-02-23,351100000.0,,,,,1468100000.0,
20,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2013-02-27,235400000.0,,,,99915457.0,1580900000.0,5105300000.0
21,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2014-02-26,235400000.0,,,,99915457.0,1580900000.0,5105300000.0
22,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2015-02-25,235400000.0,,,,,1580900000.0,
23,AVY,AVERY DENNISON CORPORATION,2012-12-29,10-K,2016-02-24,235400000.0,,,,,1536600000.0,
16,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2012-02-27,178000000.0,,22200000.0,,106269919.0,1658500000.0,4972700000.0
17,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2013-02-27,178000000.0,,,,106269919.0,1658500000.0,4972700000.0
18,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2014-02-26,178000000.0,,,,,1658500000.0,
19,AVY,AVERY DENNISON CORPORATION,2011-12-31,10-K,2015-02-25,178000000.0,,,,,1658500000.0,
15,AVY,AVERY DENNISON CORPORATION,2011-10-01,10-K,2012-02-27,,,49800000.0,,,,
14,AVY,AVERY DENNISON CORPORATION,2011-07-02,10-K,2012-02-27,,,73300000.0,,,,
13,AVY,AVERY DENNISON CORPORATION,2011-04-02,10-K,2012-02-27,,,44800000.0,,,,
9,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2011-02-28,127500000.0,,316900000.0,,105391940.0,1645700000.0,5099400000.0
10,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2012-02-27,127500000.0,,114200000.0,,105391940.0,1645700000.0,5099400000.0
11,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2013-02-27,127500000.0,,,,,1645700000.0,
12,AVY,AVERY DENNISON CORPORATION,2011-01-01,10-K,2014-02-26,127500000.0,,,,,1645700000.0,
8,AVY,AVERY DENNISON CORPORATION,2010-10-02,10-K,2012-02-27,,,64200000.0,,,,
7,AVY,AVERY DENNISON CORPORATION,2010-07-03,10-K,2012-02-27,,,83800000.0,,,,
6,AVY,AVERY DENNISON CORPORATION,2010-04-03,10-K,2012-02-27,,,54700000.0,,,,
3,AVY,AVERY DENNISON CORPORATION,2010-01-02,10-K,2011-02-28,138100000.0,,-746700000.0,,105298317.0,1362600000.0,5002800000.0
4,AVY,AVERY DENNISON CORPORATION,2010-01-02,10-K,2012-02-27,138100000.0,,-746700000.0,,,1362600000.0,
5,AVY,AVERY DENNISON CORPORATION,2010-01-02,10-K,2013-02-27,138100000.0,,,,,1362600000.0,
1,AVY,AVERY DENNISON CORPORATION,2008-12-27,10-K,2011-02-28,105500000.0,,266100000.0,,,1750000000.0,
2,AVY,AVERY DENNISON CORPORATION,2008-12-27,10-K,2012-02-27,105500000.0,,,,,1750000000.0,
0,AVY,AVERY DENNISON CORPORATION,2007-12-29,10-K,2011-02-28,71500000.0,,,,,1989400000.0,
