,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,stockholders_equity,total_assets,total_liabilities
57,BALL,Ball Corporation,2025-12-31,10-K,2026-02-19,1212000000.0,,,,5421000000.0,19524000000.0,14103000000.0
55,BALL,Ball Corporation,2024-12-31,10-K,2025-02-20,885000000.0,,,,5862000000.0,17628000000.0,11698000000.0
56,BALL,Ball Corporation,2024-12-31,10-K,2026-02-19,885000000.0,,,,5862000000.0,17628000000.0,11698000000.0
52,BALL,Ball Corporation,2023-12-31,10-K,2024-02-20,695000000.0,,,1273000000.0,3769000000.0,19303000000.0,15466000000.0
53,BALL,Ball Corporation,2023-12-31,10-K,2025-02-20,695000000.0,,,,3769000000.0,19303000000.0,15466000000.0
54,BALL,Ball Corporation,2023-12-31,10-K,2026-02-19,695000000.0,,,,,,
49,BALL,Ball Corporation,2022-12-31,10-K,2023-02-21,548000000.0,,,1214000000.0,3461000000.0,19909000000.0,16382000000.0
50,BALL,Ball Corporation,2022-12-31,10-K,2024-02-20,548000000.0,,,1214000000.0,3461000000.0,19909000000.0,16382000000.0
51,BALL,Ball Corporation,2022-12-31,10-K,2025-02-20,548000000.0,,,,,,
46,BALL,Ball Corporation,2021-12-31,10-K,2022-02-16,563000000.0,,,1291000000.0,3627000000.0,19714000000.0,16029000000.0
47,BALL,Ball Corporation,2021-12-31,10-K,2023-02-21,563000000.0,,,1291000000.0,3627000000.0,19714000000.0,16029000000.0
48,BALL,Ball Corporation,2021-12-31,10-K,2024-02-20,563000000.0,,,1291000000.0,,,
43,BALL,Ball Corporation,2020-12-31,10-K,2021-02-17,1366000000.0,,,1003000000.0,3275000000.0,18252000000.0,14915000000.0
44,BALL,Ball Corporation,2020-12-31,10-K,2022-02-16,1366000000.0,,,1003000000.0,3275000000.0,18252000000.0,14915000000.0
45,BALL,Ball Corporation,2020-12-31,10-K,2023-02-21,1366000000.0,,,1003000000.0,,,
40,BALL,Ball Corporation,2019-12-31,10-K,2020-02-19,1798000000.0,7791000000.0,,932000000.0,2949000000.0,17360000000.0,14341000000.0
41,BALL,Ball Corporation,2019-12-31,10-K,2021-02-17,1798000000.0,,,932000000.0,2949000000.0,17360000000.0,14341000000.0
42,BALL,Ball Corporation,2019-12-31,10-K,2022-02-16,1798000000.0,,,932000000.0,,,
37,BALL,Ball Corporation,2018-12-31,10-K,2019-02-22,721000000.0,6518000000.0,,935000000.0,3458000000.0,16554000000.0,12992000000.0
38,BALL,Ball Corporation,2018-12-31,10-K,2020-02-19,721000000.0,6518000000.0,,935000000.0,3458000000.0,16554000000.0,12992000000.0
39,BALL,Ball Corporation,2018-12-31,10-K,2021-02-17,721000000.0,,,935000000.0,,,
34,BALL,Ball Corporation,2017-12-31,10-K,2018-03-01,448000000.0,6631000000.0,,802000000.0,3941000000.0,17169000000.0,13123000000.0
35,BALL,Ball Corporation,2017-12-31,10-K,2019-02-22,448000000.0,6631000000.0,,802000000.0,3941000000.0,17169000000.0,13123000000.0
36,BALL,Ball Corporation,2017-12-31,10-K,2020-02-19,448000000.0,,,802000000.0,,,
31,BALL,Ball Corporation,2016-12-31,10-K,2017-03-02,597000000.0,7389000000.0,,463000000.0,3435000000.0,16173000000.0,12632000000.0
32,BALL,Ball Corporation,2016-12-31,10-K,2018-03-01,597000000.0,7389000000.0,,463000000.0,3435000000.0,16173000000.0,12632000000.0
33,BALL,Ball Corporation,2016-12-31,10-K,2019-02-22,597000000.0,,,463000000.0,,,
30,BALL,Ball Corporation,2016-09-30,10-K,2017-03-02,,,,132000000.0,,,
29,BALL,Ball Corporation,2016-06-30,10-K,2017-03-02,,,,279000000.0,,,
26,BALL,Ball Corporation,2015-12-31,10-K,2016-02-16,224000000.0,5107800000.0,,605200000.0,1251300000.0,9777000000.0,8515700000.0
27,BALL,Ball Corporation,2015-12-31,10-K,2017-03-02,224000000.0,5028000000.0,,606000000.0,1251000000.0,9697000000.0,8436000000.0
28,BALL,Ball Corporation,2015-12-31,10-K,2018-03-01,224000000.0,,,606000000.0,,,
22,BALL,Ball Corporation,2014-12-31,10-K,2015-02-20,191400000.0,3048800000.0,,838600000.0,1033100000.0,7571000000.0,6331400000.0
23,BALL,Ball Corporation,2014-12-31,10-K,2016-02-16,191400000.0,3048800000.0,,838600000.0,1033100000.0,7571000000.0,6331400000.0
24,BALL,Ball Corporation,2014-12-31,10-K,2017-03-02,191000000.0,,,839000000.0,,,
25,BALL,Ball Corporation,2014-12-31,10-K,2018-03-01,191000000.0,,,,,,
18,BALL,Ball Corporation,2013-12-31,10-K,2014-02-24,416000000.0,3547800000.0,,795400000.0,1199900000.0,7819800000.0,6428500000.0
19,BALL,Ball Corporation,2013-12-31,10-K,2015-02-20,416000000.0,3547800000.0,,795400000.0,1224600000.0,7820400000.0,6404400000.0
20,BALL,Ball Corporation,2013-12-31,10-K,2016-02-16,416000000.0,,,795400000.0,,,
21,BALL,Ball Corporation,2013-12-31,10-K,2017-03-02,416000000.0,,,,,,
14,BALL,Ball Corporation,2012-12-31,10-K,2013-02-22,174100000.0,3189400000.0,,790500000.0,1114600000.0,7507100000.0,6217100000.0
15,BALL,Ball Corporation,2012-12-31,10-K,2014-02-24,174100000.0,3189400000.0,,790500000.0,1114600000.0,7507100000.0,6217100000.0
16,BALL,Ball Corporation,2012-12-31,10-K,2015-02-20,174100000.0,,,790500000.0,,7520700000.0,6206500000.0
17,BALL,Ball Corporation,2012-12-31,10-K,2016-02-16,174100000.0,,,,,,
10,BALL,Ball Corporation,2011-12-31,10-K,2012-02-22,165800000.0,2764500000.0,444000000.0,836900000.0,1219100000.0,7284600000.0,5906600000.0
11,BALL,Ball Corporation,2011-12-31,10-K,2013-02-22,165800000.0,2764500000.0,,836900000.0,1219100000.0,7284600000.0,5906600000.0
12,BALL,Ball Corporation,2011-12-31,10-K,2014-02-24,165800000.0,,,836900000.0,,,
13,BALL,Ball Corporation,2011-12-31,10-K,2015-02-20,165800000.0,,,,,,
6,BALL,Ball Corporation,2010-12-31,10-K,2011-02-28,152000000.0,,468000000.0,764600000.0,1658100000.0,6927700000.0,5269600000.0
7,BALL,Ball Corporation,2010-12-31,10-K,2012-02-22,152000000.0,2736100000.0,468000000.0,764600000.0,1518000000.0,6927700000.0,5269600000.0
8,BALL,Ball Corporation,2010-12-31,10-K,2013-02-22,152000000.0,,,764600000.0,,,
9,BALL,Ball Corporation,2010-12-31,10-K,2014-02-24,152000000.0,,,,,,
3,BALL,Ball Corporation,2009-12-31,10-K,2011-02-28,210600000.0,,387900000.0,653800000.0,1583000000.0,6488300000.0,4905300000.0
4,BALL,Ball Corporation,2009-12-31,10-K,2012-02-22,210600000.0,,387900000.0,653800000.0,,,
5,BALL,Ball Corporation,2009-12-31,10-K,2013-02-22,210600000.0,,,,,,
1,BALL,Ball Corporation,2008-12-31,10-K,2011-02-28,127400000.0,,319500000.0,580600000.0,1087300000.0,,
2,BALL,Ball Corporation,2008-12-31,10-K,2012-02-22,127400000.0,,,,,,
0,BALL,Ball Corporation,2007-12-31,10-K,2011-02-28,151600000.0,,,,1343600000.0,,
